Localisation;Service;Fréquence Min (MHz);Fréquence Max (MHz);Preset
PC1 - PARIS CENTRE 1;Wireless_Microphones_and_In_Ear_Monitor;32;39;Non
PC1 - PARIS CENTRE 1;Wireless_Microphones_and_In_Ear_Monitor;55;68;Non
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;69.04375;69.25;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;70.25;70.44375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;70.45625;70.49375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;70.50625;70.525;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;70.98125;71.04375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;71.05625;71.06875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;71.08125;71.10625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;71.11875;71.14375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;71.15625;71.16875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;71.18125;71.19375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;71.20625;71.21875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;71.23125;71.24375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;71.26875;71.29375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;71.30625;71.34375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;71.35625;71.36875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;71.38125;71.49375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;71.50625;71.69375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;71.70625;71.75625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;71.76875;71.95;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;73.09375;73.3;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;75.20625;75.29375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;75.29375;75.39375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;75.40625;75.59375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;75.61875;75.79375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;75.80625;75.99375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;76.00625;76.15625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;76.16875;76.66875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;76.68125;76.75625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;76.76875;77.475;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;80;80.39375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;80.40625;80.59375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;80.61875;80.79375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;80.80625;81.15625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;81.16875;81.66875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;81.68125;81.75625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;81.76875;82.475;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;87.3;87.5;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;144;144.16875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;144.18125;144.29375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;144.30625;144.79375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;144.80625;145.43125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;145.54375;145.79375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;148.825;149.29375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;149.30625;149.31875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;149.31875;149.55625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;149.55625;149.88125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;150.05625;150.36875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;150.58125;150.99375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;151.00625;151.05625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;151.06875;151.08125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;151.09375;151.18125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;151.19375;151.28125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;151.29375;151.31875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;153.425;153.59375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;153.65625;154.55625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;154.58125;154.96875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;155.18125;155.59375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;155.60625;155.65625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;155.66875;155.68125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;155.69375;155.73125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;155.74375;155.78125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;155.79375;155.88125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;155.89375;155.91875;Oui
