Stakeholder Id,Request Id,Request Date,Dï¿½but,Fin,Spectrum Service,Usage Type,Venue,Duplex,Channel Bandwidth (kHz),Attributed Frequency (Tx),Intervalle de prï¿½fï¿½rence,Attributed Frequency (Rx),Status,Saisie,Rï¿½ponse ANFR,Availability
A5A2,A6A3-10,12/07/2023,28/08/2024,08/09/2024,Private_Mobile_Radio,Ground to Ground,PO2 - PARIS OUEST 2,Non,12.5,454.6,Oui,,approved,auto,,Available
A5A2,BBS-10,12/07/2023,28/08/2024,08/09/2024,Private_Mobile_Radio,Ground to Ground,PO2 - PARIS OUEST 2,Non,12.5,454.7125,Oui,,approved,auto,,Available
AA1,AA1-10,26/07/2023,30/08/2024,08/09/2024,Private_Mobile_Radio,Ground to Ground,PO2 - PARIS OUEST 2,Non,12.5,454.5125,Oui,,approved,auto,,Available
AZI,AZI-257,12/06/2023,01/09/2024,08/09/2024,Private_Mobile_Radio,Ground to Ground,PO2 - PARIS OUEST 2,Oui,12.5,465.1125,Oui,455.1125,approved,auto,,Available
AZI,AZI-258,12/06/2023,01/09/2024,08/09/2024,Private_Mobile_Radio,Ground to Ground,PO2 - PARIS OUEST 2,Oui,6.25,465.2375,Oui,455.2375,approved,auto,,Available
AZI,AZI-259,12/06/2023,01/09/2024,08/09/2024,Private_Mobile_Radio,Ground to Ground,PO2 - PARIS OUEST 2,Non,12.5,418.5375,Non,,approved,auto,,Available
AZI,AZI-260,12/06/2023,01/09/2024,08/09/2024,Private_Mobile_Radio,Ground to Ground,PO2 - PARIS OUEST 2,Non,6.25,407.840625,Non,,approved,auto,,Available
AZI,AZI-261,12/06/2023,01/09/2024,08/09/2024,Private_Mobile_Radio,Ground to Ground,PO2 - PARIS OUEST 2,Non,6.25,414.603125,Non,,approved,auto,,Available
AZI,AZI-266,12/06/2023,28/08/2024,08/09/2024,Wireless_Microphones_and_In_Ear_Monitor,Ground to Ground,PO2 - PARIS OUEST 2,Non,200.0,492.7,Oui,,approved,auto,,Available
AZI,AZI-267,12/06/2023,28/08/2024,08/09/2024,Wireless_Microphones_and_In_Ear_Monitor,Ground to Ground,PO2 - PARIS OUEST 2,Non,200.0,492.9,Oui,,approved,auto,,Available
AZI,AZI-268,12/06/2023,01/09/2024,08/09/2024,Wireless_Microphones_and_In_Ear_Monitor,Ground to Ground,PO2 - PARIS OUEST 2,Non,200.0,493.1,Oui,,approved,auto,,Available
AZI,AZI-269,12/06/2023,01/09/2024,08/09/2024,Wireless_Microphones_and_In_Ear_Monitor,Ground to Ground,PO2 - PARIS OUEST 2,Non,200.0,493.3,Oui,,approved,auto,,Available
AZI,AZI-270,12/06/2023,01/09/2024,08/09/2024,Wireless_Microphones_and_In_Ear_Monitor,Ground to Ground,PO2 - PARIS OUEST 2,Non,200.0,493.5,Oui,,approved,auto,,Available
AZI,AZI-271,12/06/2023,01/09/2024,08/09/2024,Wireless_Microphones_and_In_Ear_Monitor,Ground to Ground,PO2 - PARIS OUEST 2,Non,200.0,493.7,Oui,,approved,auto,,Available
AZI,AZI-272,12/06/2023,01/09/2024,08/09/2024,Wireless_Microphones_and_In_Ear_Monitor,Ground to Ground,PO2 - PARIS OUEST 2,Non,200.0,493.9,Oui,,approved,auto,,Available
AZI,AZI-273,12/06/2023,01/09/2024,08/09/2024,Wireless_Microphones_and_In_Ear_Monitor,Ground to Ground,PO2 - PARIS OUEST 2,Non,200.0,494.1,Oui,,approved,auto,,Available
